step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
156,30712,312,0.028582288354447278,0.5,0.8,,,,,,,,,
157,30986,314,0.026184840951693118,1.0,1.0,,,,,,,,,
158,31116,316,0.031715015372674314,1.0,1.0,,,,,,,,,
159,31342,318,0.02274911927763631,1.0,1.0,,,,,,,,,
160,31616,320,0.03489964682314595,0.5,0.8,,,,,,,,,
161,31730,322,0.0657109264880897,0.0,0.5,0.03586874977697074,0.5,0.8,,,,,,
162,31860,324,0.028105941890444228,1.0,1.0,,,,,,,,,
163,32054,326,0.02712596916847057,1.0,1.0,,,,,,,,,
164,32312,328,0.0221799829275426,1.0,1.0,,,,,,,,,
165,32506,330,0.03867569841007328,0.0,0.5,,,,,,,,,
166,32748,332,0.03193791043403568,1.0,1.0,,,,,,,,,
167,33022,334,0.024014640372435465,0.0,0.5,,,,,,,,,
168,33248,336,0.028744228297164224,0.0,0.6,,,,,,,,,
169,33378,338,0.03624981758316608,1.0,1.0,0.03777708616598489,0.5,0.8,,,,,,
170,33620,340,0.026735618541826024,0.5,0.8,,,,,,,,,
171,33734,342,0.06269979698789808,0.0,0.6666666666666666,,,,,,,,,
172,33864,344,0.04670268367984136,0.5,0.8,,,,,,,,,
173,33994,346,0.036546180195550726,0.5,0.8,,,,,,,,,
174,34204,348,0.029687486311388338,0.5,0.8333333333333334,,,,,,,,,
175,34430,350,0.031862170001134345,0.5,0.8,,,,,,,,,
176,34560,352,0.03792478030228722,0.5,0.8,,,,,,,,,
177,34802,354,0.028701473234830095,0.5,0.8,0.023898704085684588,1.0,1.0,,,,,,
178,34996,356,0.0277821647633967,0.5,0.8,,,,,,,,,
179,35206,358,0.021120048843085194,1.0,1.0,,,,,,,,,
180,35400,360,0.02410641956227361,1.0,1.0,,,,,,,,,
181,35546,362,0.030703356590084798,1.0,1.0,,,,,,,,,
